urn,author,date
urn:cts:greekLit:tlg2168,"Apollophanes, Stoicus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg9018,"Arsenios, Archbishop of Monemvasia, 1465-1535",1500 CE-1600 CE
urn:cts:greekLit:tlg0551,"Appianus, of Alexandria",100 CE-200 CE
urn:cts:greekLit:tlg2027,"Apsines, of Gadara, 3rd cent.",300 CE
urn:cts:greekLit:tlg0282,"Apuleius, Barbarus",400 CE
urn:cts:greekLit:tlg1768,"Aquila, of Pontus",200 CE
urn:cts:greekLit:tlg4035,"Arabius, Epigrammaticus, 6. Jh.",600 CE
urn:cts:greekLit:tlg0415,"Ararus, Comicus, um 376/373 v. Chr.",400 BCE
urn:cts:greekLit:tlg2162,"Aratus, of Sicyon, 271 B.C.-213 B.C",300 BCE
urn:cts:greekLit:tlg0653,"Aratus, Solensis",400 BCE/300 BCE
urn:cts:greekLit:tlg2116,"Arcadius,  Antiochenus, 4. Jh. n. Chr.",400 CE?
urn:cts:greekLit:tlg0520,"Arcesilaus, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1172,Arcesilaus Pitanaeus,400 BCE-300 BCE
urn:cts:greekLit:tlg0038,Arcesilai Epistula,400 BCE-300 BCE
urn:cts:greekLit:tlg0416,"Archedicus, Comicus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg1173,"Archedemus, Tarsensis",200 BCE
urn:cts:greekLit:tlg0570,Archelaus Chersonensis 4./3. Jh. v. Chr,400 BCE-300 BCE
urn:cts:greekLit:tlg2303,Archelaus Philosophus,500 BCE
urn:cts:greekLit:tlg1174,"Archemachus, Euboeus,  3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1175,"Archestratus, of Gela",400 BCE
urn:cts:greekLit:tlg0126,"Archias, Aulus Licinius, b. 120 B.C. (DNB record merges Archias Antioch/Archias Junior with this individual)",200 BCE
urn:cts:greekLit:tlg0661,"Archigenēs, ca. 54-ca. 117",100 CE-200 CE
urn:cts:greekLit:tlg0232,Archilochus,800 BCE-700 BC
urn:cts:greekLit:tlg0552,Archimedes,300 BCE
urn:cts:greekLit:tlg0131,"Archimelus, Epigrammaticus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg2418,"Archinus, Historicus ca. 4.Jh.v.Chr.",400 BCE
urn:cts:greekLit:tlg0417,"Archippus, Comicus, um 415/412 v. Chr.",500 BCE
urn:cts:greekLit:tlg2214,"Architimus, Historicus, v4. Jh",
urn:cts:greekLit:tlgnone,"Archippus, Tarentinus, v5. Jh.",50 BCE
urn:cts:greekLit:tlg1176,"Archytas, Amphissensis, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0620,"Archytas, of Tarentum",400 BCE
urn:cts:greekLit:tlg1177,Pseudo-Archytas,100 BCE-300 CE
urn:cts:greekLit:tlg2193,"Aretades, Cnidius, v2. Jh",Unknown
urn:cts:greekLit:tlg0719,"Aretaeus, of Cappadocia",100 CE
urn:cts:greekLit:tlg2130,"Arethas, Archbishop of Caesarea (Cappadocia), ca. 860-ca. 940",900 CE-1000 CE
urn:cts:greekLit:tlg2215,"Ariaethus, Tegeates, v3. Jh",300 BCE
urn:cts:greekLit:tlg2658,"Arion, fl. 628-625 B.C",700 BCE
urn:cts:greekLit:tlg0378,"Ariphron, Sicyonius, um 405/398 v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg4000,Aristaenetus,600 CE
urn:cts:greekLit:tlg2429,"Aristanetus, Byzantius, 2./3. Jh",200 CE-300 CE
urn:cts:greekLit:tlg0418,"Aristagoras, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1190,"Aristagoras, Milesius,4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1767,"Aristarchus, of Samothrace, ca. 217-145 B.C.",300 BCE-200 BCE
urn:cts:greekLit:tlg1181,"Aristarchus, of Samos",400 BCE-300 BCE
urn:cts:greekLit:tlg0306,"Aristarchus, Tegeates,  5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1182,"Aristeas, of Proconessus",700 BCE-600 BCE
