work,words
urn:cts:greekLit:tlg0017.tlg009,2264
urn:cts:greekLit:tlg0017.tlg010,2037
urn:cts:greekLit:tlg0017.tlg011,3605
urn:cts:greekLit:tlg0017.tlg012,951
urn:cts:greekLit:tlg0018.tlg001,13347
urn:cts:greekLit:tlg0018.tlg002,32415
urn:cts:greekLit:tlg0018.tlg003,7688
urn:cts:greekLit:tlg0018.tlg004,9667
urn:cts:greekLit:tlg0018.tlg005,11464
urn:cts:greekLit:tlg0018.tlg006,11235
urn:cts:greekLit:tlg0018.tlg007,3299
urn:cts:greekLit:tlg0018.tlg008,9077
urn:cts:greekLit:tlg0018.tlg009,9053
urn:cts:greekLit:tlg0018.tlg010,8959
urn:cts:greekLit:tlg0018.tlg011,11627
urn:cts:greekLit:tlg0018.tlg012,3641
urn:cts:greekLit:tlg0018.tlg013,10471
urn:cts:greekLit:tlg0018.tlg014,12882
urn:cts:greekLit:tlg0018.tlg015,16093
urn:cts:greekLit:tlg0018.tlg016,9020
urn:cts:greekLit:tlg0018.tlg017,11168
urn:cts:greekLit:tlg0018.tlg018,13393
urn:cts:greekLit:tlg0018.tlg019,26509
urn:cts:greekLit:tlg0018.tlg020,13399
urn:cts:greekLit:tlg0018.tlg021,12859
urn:cts:greekLit:tlg0018.tlg022,31488
urn:cts:greekLit:tlg0018.tlg023,8471
urn:cts:greekLit:tlg0018.tlg024,56956
urn:cts:greekLit:tlg0018.tlg025,12212
urn:cts:greekLit:tlg0018.tlg026,9124
urn:cts:greekLit:tlg0018.tlg027,7608
urn:cts:greekLit:tlg0018.tlg028,4635
urn:cts:greekLit:tlg0018.tlg029,9202
urn:cts:greekLit:tlg0018.tlg030,8982
urn:cts:greekLit:tlg0018.tlg031,17577
urn:cts:greekLit:tlg0019.tlg001,7218
urn:cts:greekLit:tlg0019.tlg002,8931
urn:cts:greekLit:tlg0019.tlg003,9670
urn:cts:greekLit:tlg0019.tlg004,9848
urn:cts:greekLit:tlg0019.tlg005,8046
urn:cts:greekLit:tlg0019.tlg006,10775
urn:cts:greekLit:tlg0019.tlg007,8110
urn:cts:greekLit:tlg0019.tlg008,7274
urn:cts:greekLit:tlg0019.tlg009,9196
urn:cts:greekLit:tlg0019.tlg010,7683
urn:cts:greekLit:tlg0019.tlg011,8133
urn:cts:greekLit:tlg0020.tlg001,7039
urn:cts:greekLit:tlg0020.tlg002,5856
urn:cts:greekLit:tlg0020.tlg003,2832
urn:cts:greekLit:tlg0022.tlg001,6378
urn:cts:greekLit:tlg0022.tlg002,4137
urn:cts:greekLit:tlg0023.tlg001,22753
urn:cts:greekLit:tlg0024.tlg001,13482
urn:cts:greekLit:tlg0026.tlg001,13542
urn:cts:greekLit:tlg0026.tlg002,12325
urn:cts:greekLit:tlg0026.tlg003,18454
urn:cts:greekLit:tlg0026.tlg004,4273
